URL,Relative url,Title,Address
https://newjersey.craigslist.org/egr/d/harriman-construction-inspectors-and/7106362496.html,https://newjersey.craigslist.org/egr/d/harriman-construction-inspectors-and/7106362496.html,Construction Inspectors and Office Engineer,
https://newjersey.craigslist.org/egr/d/jersey-city-need-architectural-drafter/7105505351.html,https://newjersey.craigslist.org/egr/d/jersey-city-need-architectural-drafter/7105505351.html,Need architectural drafter to design plans,
https://newjersey.craigslist.org/egr/d/edison-wastewater-treatment-operators/7104207504.html,https://newjersey.craigslist.org/egr/d/edison-wastewater-treatment-operators/7104207504.html,Wastewater Treatment Operators & Technicians,
https://jerseyshore.craigslist.org/egr/d/neptune-environmental-report-writer/7114753668.html,https://jerseyshore.craigslist.org/egr/d/neptune-environmental-report-writer/7114753668.html,Environmental Report Writer,
https://jerseyshore.craigslist.org/egr/d/solidworks-or-fusion-360-cad-drafter/7110543479.html,https://jerseyshore.craigslist.org/egr/d/solidworks-or-fusion-360-cad-drafter/7110543479.html,SOLIDWORKS OR FUSION 360 CAD DRAFTER ; MECHANICAL,
https://cnj.craigslist.org/egr/d/washington-urgent-civil-engineer/7116167866.html,https://cnj.craigslist.org/egr/d/washington-urgent-civil-engineer/7116167866.html,Urgent: Civil Engineer,
https://cnj.craigslist.org/egr/d/harriman-construction-inspectors-and/7106361335.html,https://cnj.craigslist.org/egr/d/harriman-construction-inspectors-and/7106361335.html,Construction Inspectors and Office Engineer,
https://cnj.craigslist.org/egr/d/tennent-expediter-team-lead-class-ii/7106069527.html,https://cnj.craigslist.org/egr/d/tennent-expediter-team-lead-class-ii/7106069527.html,Expediter/Team Lead - Class II Licensed NYC,
https://longisland.craigslist.org/egr/d/lake-grove-electrical-engineer-needed/7116512083.html,https://longisland.craigslist.org/egr/d/lake-grove-electrical-engineer-needed/7116512083.html,Electrical Engineer Needed Part Time,
https://longisland.craigslist.org/egr/d/bellmore-experienced-architectural/7114940424.html,https://longisland.craigslist.org/egr/d/bellmore-experienced-architectural/7114940424.html,Experienced Architectural Draftsman,
https://longisland.craigslist.org/egr/d/surveyor-land-office/7113107731.html,https://longisland.craigslist.org/egr/d/surveyor-land-office/7113107731.html,Surveyor Land - office,
https://longisland.craigslist.org/egr/d/maspeth-soil-inspector-nicet-nettcp-and/7111786399.html,https://longisland.craigslist.org/egr/d/maspeth-soil-inspector-nicet-nettcp-and/7111786399.html,"Soil Inspector  NICET, NETTCP and/or ICC soils *Required*",
https://longisland.craigslist.org/egr/d/long-island-city-art-design-studio/7108145522.html,https://longisland.craigslist.org/egr/d/long-island-city-art-design-studio/7108145522.html,ART/DESIGN STUDIO SEEKS FT CAD DESIGN ASST/INTRO MODEL MAKER,
https://longisland.craigslist.org/egr/d/architecture/7106700809.html,https://longisland.craigslist.org/egr/d/architecture/7106700809.html,Architecture,
https://longisland.craigslist.org/egr/d/farmingdale-autocad-inventor-position/7105145881.html,https://longisland.craigslist.org/egr/d/farmingdale-autocad-inventor-position/7105145881.html,Autocad/Inventor position,
https://hudsonvalley.craigslist.org/egr/d/goshen-civil-engineer-civil-3d/7112582624.html,https://hudsonvalley.craigslist.org/egr/d/goshen-civil-engineer-civil-3d/7112582624.html,Civil Engineer/Civil 3D,
https://hudsonvalley.craigslist.org/egr/d/highland-engineering-technician/7111285524.html,https://hudsonvalley.craigslist.org/egr/d/highland-engineering-technician/7111285524.html,Engineering Technician,
https://hudsonvalley.craigslist.org/egr/d/highland-engineer/7111273484.html,https://hudsonvalley.craigslist.org/egr/d/highland-engineer/7111273484.html,Engineer,
https://hudsonvalley.craigslist.org/egr/d/harriman-construction-inspectors-and/7106367153.html,https://hudsonvalley.craigslist.org/egr/d/harriman-construction-inspectors-and/7106367153.html,Construction Inspectors and Office Engineer,
https://newhaven.craigslist.org/egr/d/wallingford-landscape-designer/7114656122.html,https://newhaven.craigslist.org/egr/d/wallingford-landscape-designer/7114656122.html,Landscape Designer,
https://newhaven.craigslist.org/egr/d/milford-cad-cam-designer-draftsman-with/7109830097.html,https://newhaven.craigslist.org/egr/d/milford-cad-cam-designer-draftsman-with/7109830097.html,CAD/CAM Designer - Draftsman with SolidWorks Experience,
https://newhaven.craigslist.org/egr/d/brookfield-mechanical-engineer/7108450684.html,https://newhaven.craigslist.org/egr/d/brookfield-mechanical-engineer/7108450684.html,Mechanical Engineer,
https://newhaven.craigslist.org/egr/d/westport-estimating-project-management/7105209555.html,https://newhaven.craigslist.org/egr/d/westport-estimating-project-management/7105209555.html,Estimating/Project Management Intern,
